#RESOURCE=yCat_17330124
#Name: J/ApJ/733/124
#Title: Cepheids in M101 observed with HST (Shappee+, 2011)
#Table J_ApJ_733_124_cepheids:
#Name: J/ApJ/733/124/cepheids
#Title: Cepheid variables data  }
#---Details of Columns:
    Per (d)      (F10.6) Period [ucd=time.period]
    e_Per (d)    (F9.6)  Uncertainty in Per [ucd=stat.error]
    Vmag (mag)   (F6.3)  Mean HST V band magnitude [ucd=phot.mag;em.opt.V]
    e_Vmag (mag) (F6.3)  Uncertainty in Vmag [ucd=stat.error;phot.mag;em.opt.V]
---------- --------- ------ ------
Per(d)  e_Per(d)  V_mag(mag)  e_Vmag(mag)
 30.328500  0.688700  23.459  0.012
 25.384200  0.402100  23.519  0.016
 69.357300  2.706800  23.177  0.018
 60.176400  4.396000  23.396  0.030
 31.510900  2.292800  23.814  0.050
 44.907400  1.566400  23.651  0.015
 34.781500  0.563100  23.714  0.011
 30.725300  1.383900  23.797  0.030
 34.031700  1.636400  23.558  0.028
 31.499800  1.199700  23.831  0.024
 25.806100  0.446700  23.791  0.017
 30.367200  1.115600  23.894  0.027
 41.528900  2.707400  23.714  0.025
 31.940800  1.195100  23.965  0.025
 19.246100  0.203000  23.926  0.016
 25.201100  0.317600  24.019  0.012
 13.421200  0.253200  24.000  0.013
 41.571200  1.009700  23.831  0.012
 26.022700  0.524900  23.825  0.014
 20.437300  0.228600  23.999  0.011
 22.037000  0.401200  24.073  0.011
 30.736700  0.508600  23.977  0.013
 30.300700  0.874700  24.114  0.027
 20.298000  0.350900  23.857  0.012
 25.156100  0.462900  24.015  0.016
 25.944700  0.420900  23.985  0.014
 32.671900  0.633000  24.026  0.015
 20.054500  0.369200  24.100  0.012
 37.917200  2.227900  24.017  0.032
 38.288700  1.630800  23.963  0.017
 18.395900  0.190000  24.291  0.015
 16.545600  0.158500  24.222  0.015
 16.589600  0.260900  24.259  0.014
 26.089300  0.771000  23.799  0.023
 19.490200  0.508500  24.259  0.018
 39.243400  0.775500  24.146  0.012
 48.349500  2.572000  24.008  0.034
 30.904500  0.776200  24.305  0.021
 18.633700  0.316400  24.329  0.016
 24.024200  0.203000  24.433  0.023
 11.180500  0.158800  24.182  0.013
 25.477300  0.434700  23.982  0.016
 29.231900  0.741300  24.245  0.017
 17.266400  0.224700  24.249  0.018
 24.056300  0.260400  24.167  0.014
 17.399000  0.158900  24.305  0.014
 32.504500  1.173000  24.412  0.023
 23.337300  0.327400  24.326  0.038
 19.488500  0.303500  24.434  0.024
 29.369900  0.327800  24.531  0.031
 14.252600  0.136900  24.439  0.013
 26.746200  1.067600  24.310  0.015
 16.614100  0.167000  24.444  0.017
 16.926300  0.325400  24.466  0.025
 16.333900  0.326900  24.698  0.022
 22.298300  0.382600  24.375  0.016
 24.128900  0.723500  24.482  0.025
 13.901700  0.089800  24.661  0.030
 31.492100  0.882400  24.345  0.021
 15.562500  0.292900  24.381  0.026
 33.107000  1.014400  24.402  0.023
 14.669700  0.155900  24.420  0.021
 19.266200  0.256000  24.749  0.024
 28.152100  0.892200  24.470  0.022
  6.945300  0.141400  24.543  0.015
 13.117100  0.143500  24.573  0.019
 17.186600  0.383600  24.588  0.027
 18.216500  0.207600  24.538  0.016
 14.931700  0.196300  24.849  0.021
  8.256900  0.182200  24.524  0.014
 16.532300  0.269300  24.460  0.018
 17.556900  0.147500  24.431  0.017
 16.070800  0.171500  24.456  0.015
 29.179000  0.851000  24.322  0.020
 17.096100  0.221800  24.456  0.017
 22.673500  0.411800  24.279  0.015
 14.424200  0.126800  24.421  0.017
 15.645600  0.220100  24.602  0.025
 19.223600  0.310200  24.465  0.015
 25.263800  0.703000  24.403  0.019
 17.699400  0.286100  24.496  0.019
 10.525600  0.145600  24.631  0.015
 19.261800  0.289400  24.337  0.019
 13.096900  0.106200  24.472  0.019
  7.155600  0.101900  24.607  0.016
 26.527700  0.901600  24.651  0.025
 17.229700  0.236000  24.493  0.018
 16.302500  0.427600  24.612  0.030
 11.273900  0.097700  24.656  0.019
 12.820000  0.147100  24.669  0.018
 19.808100  0.588500  24.517  0.018
 18.565600  0.334600  24.734  0.022
 13.853300  0.048000  24.692  0.015
 15.702400  0.190600  24.579  0.019
 16.417600  0.223600  24.735  0.016
 12.271500  0.117300  24.753  0.020
 24.840300  0.564300  24.620  0.020
 19.656900  0.372400  24.681  0.016
  5.907300  0.031400  24.725  0.014
 19.267900  0.566000  24.610  0.023
 13.009400  0.085000  24.704  0.018
 15.389300  0.238800  24.726  0.022
 17.589500  0.165100  24.658  0.019
 26.204200  0.500100  24.545  0.017
  8.048000  0.050100  25.018  0.017
 21.175900  0.830900  24.493  0.028
 12.442200  0.138500  24.783  0.018
 12.403500  0.227500  24.965  0.017
 18.573500  0.266200  24.611  0.028
 26.052900  0.758600  24.496  0.019
 19.148500  0.331800  24.761  0.019
 17.830700  0.260800  24.670  0.018
 11.295200  0.138300  24.845  0.018
  6.679500  0.110300  24.696  0.017
 18.999400  0.235600  24.629  0.016
 17.562600  0.180800  24.724  0.017
 13.830100  0.156300  24.726  0.019
 19.313000  0.290600  24.746  0.018
 14.335400  0.187000  24.794  0.024
 21.787100  0.263500  24.562  0.021
 14.176000  0.161500  24.790  0.020
 12.015300  0.103500  24.778  0.021
  7.260700  0.077300  24.755  0.024
 15.266500  0.110100  24.914  0.022
 22.223800  0.506000  24.645  0.017
 14.298100  0.118900  24.838  0.022
 17.024800  0.135100  24.747  0.026
  9.914600  0.051300  24.896  0.018
 10.689900  0.123600  24.870  0.021
 10.741800  0.139900  24.948  0.019
 11.359300  0.121200  24.840  0.020
 21.954100  0.487700  25.004  0.035
 20.837000  0.407900  24.675  0.020
 10.897700  0.125100  24.813  0.016
  7.480100  0.075600  24.844  0.023
 10.540200  0.139200  24.878  0.016
 12.097500  0.152700  24.758  0.021
 15.224300  0.162600  24.823  0.019
 15.619000  0.171300  24.919  0.026
 10.189600  0.051600  24.903  0.021
  8.739900  0.126500  24.999  0.022
 16.508300  0.122600  24.918  0.021
 15.204000  0.234600  24.920  0.033
 16.508900  0.174900  24.976  0.026
 13.021300  0.077400  24.950  0.020
 16.633300  0.098600  24.965  0.019
  4.974000  0.044900  25.061  0.019
 14.159000  0.159800  24.948  0.021
 11.363000  0.108800  25.332  0.023
 17.073100  0.316100  25.048  0.028
 11.998400  0.122200  24.870  0.024
 13.558300  0.109100  24.931  0.020
 11.055200  0.096100  24.876  0.021
 13.099600  0.153300  24.947  0.025
 14.019100  0.281200  25.063  0.024
  9.221200  0.058900  24.997  0.017
  6.959300  0.036700  25.166  0.018
 10.503100  0.101100  24.990  0.027
 17.166000  0.314600  24.929  0.033
 11.824900  0.179700  24.949  0.036
 20.690200  0.261300  25.030  0.024
  5.280900  0.053900  24.990  0.018
 10.149400  0.075400  25.037  0.020
  6.058400  0.039800  24.898  0.018
 25.313200  0.387600  24.812  0.019
 10.678600  0.163600  25.013  0.025
  5.279000  0.069900  25.058  0.021
 12.530700  0.239000  25.082  0.031
 14.109500  0.109300  24.916  0.017
 10.232200  0.165700  25.067  0.023
 10.959600  0.088000  24.996  0.019
 12.979100  0.093400  25.000  0.020
  9.055600  0.081900  24.980  0.020
 10.918700  0.112700  25.006  0.022
  8.287400  0.083600  25.104  0.020
 12.256000  0.197100  24.998  0.022
  8.603800  0.144100  25.022  0.024
 25.099900  0.546800  24.876  0.024
 13.331700  0.206900  25.075  0.030
  5.502600  0.042800  25.372  0.026
  8.311500  0.113300  25.164  0.026
 11.174800  0.116700  25.039  0.030
 10.977900  0.123500  25.079  0.024
  9.794200  0.090400  25.148  0.020
 11.587800  0.151100  24.762  0.026
  9.555500  0.160500  25.080  0.029
  7.603900  0.057400  25.042  0.023
 14.871300  0.061700  25.178  0.019
  9.273900  0.127100  25.059  0.023
  9.041200  0.072000  25.072  0.023
  8.223500  0.069800  25.190  0.025
  5.825900  0.083500  25.101  0.021
  6.815500  0.056400  25.290  0.049
 11.181900  0.132100  25.179  0.029
 10.850700  0.145400  24.992  0.024
 11.561800  0.140500  25.000  0.027
