MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1101011030228,17.85,0.11,30.01642, 1.42012,56191.37575,0
1101011030228,17.82,0.11,30.01633, 1.42002,56191.38079,0
1101011030228,17.92,0.11,30.01636, 1.42014,56191.38585,0
1101011030228,17.83,0.11,30.01633, 1.42001,56206.39687,0
1101011030228,18.00,0.13,30.01636, 1.41996,56206.40368,0
1101011030228,17.65,0.10,30.01642, 1.42006,56206.41045,0
1101011030228,17.72,0.11,30.01643, 1.42007,56206.41730,0
1101011030228,17.73,0.10,30.01634, 1.42013,56213.34436,0
1101011030228,17.77,0.10,30.01629, 1.42007,56213.35119,0
1101011030228,17.82,0.11,30.01636, 1.41997,56213.35799,0
1101011030228,17.80,0.11,30.01642, 1.42008,56213.36475,0
1101011030228,17.73,0.10,30.01631, 1.42011,56223.23218,0
1101011030228,17.76,0.10,30.01631, 1.41997,56223.23816,0
1101011030228,17.83,0.11,30.01645, 1.42012,56223.24415,0
1101011030228,17.96,0.11,30.01627, 1.42014,56223.25018,0
1101011030228,17.90,0.11,30.01626, 1.41992,56233.22156,0
1101011030228,17.54,0.10,30.01647, 1.41981,56233.23169,0
1101011030228,17.87,0.11,30.01623, 1.42020,56233.24185,0
1101011030228,17.90,0.11,30.01635, 1.42005,56233.25205,0
1101011030228,17.56,0.10,30.01647, 1.42011,56253.14726,0
1101011030228,17.80,0.11,30.01625, 1.42001,56253.15231,0
1101011030228,17.81,0.11,30.01626, 1.42003,56253.15736,0
1101011030228,17.94,0.11,30.01635, 1.41994,56253.16243,0
1101011030228,18.01,0.11,30.01637, 1.41997,56265.21511,0
1101011030228,17.99,0.11,30.01629, 1.42015,56265.22050,0
1101011030228,17.71,0.10,30.01651, 1.42013,56265.22590,0
1101011030228,18.03,0.12,30.01625, 1.42017,56265.23135,0
1101011030228,17.76,0.09,30.01636, 1.42008,56273.16750,0
1101011030228,17.84,0.10,30.01631, 1.42017,56273.17362,0
1101011030228,17.85,0.10,30.01644, 1.42013,56273.17974,0
1101011030228,17.92,0.10,30.01631, 1.42005,56273.18587,0
1101011030228,17.80,0.10,30.01638, 1.42016,56297.11353,0
1101011030228,17.87,0.11,30.01644, 1.42004,56297.12046,0
1101011030228,17.77,0.10,30.01625, 1.42002,56297.12718,0
1101011030228,17.81,0.11,30.01642, 1.42018,56297.13391,0
1101011030228,17.82,0.11,30.01642, 1.42000,56540.38621,0
1101011030228,17.84,0.11,30.01632, 1.42003,56540.39067,0
1101011030228,17.87,0.11,30.01628, 1.41998,56540.39512,0
1101011030228,17.81,0.11,30.01637, 1.41999,56540.39960,0
1101011030228,17.77,0.11,30.01636, 1.42003,56541.41724,0
1101011030228,17.86,0.11,30.01638, 1.41995,56541.42575,0
1101011030228,18.05,0.12,30.01635, 1.41999,56541.43417,0
1101011030228,18.03,0.12,30.01634, 1.42001,56541.44257,0
1101011030228,17.89,0.11,30.01646, 1.42009,56552.34633,0
1101011030228,17.88,0.11,30.01662, 1.42014,56552.35132,0
1101011030228,17.89,0.11,30.01629, 1.41997,56552.35637,0
1101011030228,17.98,0.11,30.01639, 1.42015,56552.36149,0
1101011030228,18.02,0.11,30.01633, 1.41999,56565.45978,0
1101011030228,18.03,0.11,30.01637, 1.42017,56565.46492,0
1101011030228,18.06,0.11,30.01630, 1.42007,56565.46996,0
1101011030228,18.01,0.11,30.01630, 1.42001,56565.47507,0
1101011030228,17.97,0.11,30.01633, 1.42012,56571.34240,0
1101011030228,18.03,0.11,30.01630, 1.42007,56571.34917,0
1101011030228,18.01,0.11,30.01644, 1.42003,56571.35590,0
1101011030228,18.01,0.11,30.01632, 1.42013,56571.36269,0
1101011030228,17.83,0.11,30.01629, 1.42001,56577.42298,0
1101011030228,18.01,0.11,30.01634, 1.42003,56577.42799,0
1101011030228,18.06,0.12,30.01634, 1.42012,56577.43301,0
1101011030228,18.11,0.12,30.01631, 1.42008,56577.43805,0
1101011030228,18.16,0.12,30.01637, 1.42009,56591.28298,0
1101011030228,17.93,0.11,30.01639, 1.42002,56591.29063,0
1101011030228,18.14,0.12,30.01637, 1.42004,56591.29826,0
1101011030228,18.02,0.11,30.01653, 1.42014,56591.30590,0
